Question,Answer,Category
"أنزيم تفرزه العنقودية المذهبة ويعاكس في عمله عمل Coagulase:
أ. ليباز
ب. بنسيليناز
ج. الأنزيم الحال الليفي
د. . هيالورونيداز
ه. بروتيناز","ج. الأنزيم الحال الليفي
",Microbiology
"تتميز منطقة البواب بأن:
أ. الوهدات المعدية تكون سطحية
ب. الخلايا المفرزة للغاسترين تكون غائبة
ج. الوهدات المعدية تكون عميقة
د. كل ما سبق خطأ","ج. الوهدات المعدية تكون عميقة
",Histology
"ارتفاع تركيز مادة ما في البول إلى 125 ضعف تركيزها في البلازما يشير إلى أن العمليات التي خضعت لها هذه المادة هي:
أ. الرشح فقط
ب. الرشح+ عود المتصاص الجزئي
ج. الرشح + الافراز
د. الرشح + عود الامتصاص الكلي
","أ. الرشح فقط
",Physiology
"المعيار الذهبي لتشخيص أمراض الرئة الخلالية:

أ. الخزعة الرئوية  
ب. الصورة البسيطة  
ج. اختبارات المناعة الذاتية  
د. التصوير الطبقي المحوري للصدر  
هـ. القصة السريرية  ",أ. الخزعة الرئوية,Pulmonology
"يمكف لالريترومايسين أن يفيد في واحد من مسببات التهاب الأمعاء التالية:
أ. الشيغللا

ب. السالمونيللا
ج. العصيات الكولونية
د. الكامبيلوباكتير
ه. اليرسينيا",د. الكامبيلوباكتير,Pediatrics
"كل من المشاركات التالية صحيحة ما عدا:
أ. أوكس برينولول والكلوثاليدون
ب. تري هكسيفينيديل وتريمورين
ج. أموكسيسيللين وكلاريثرومايسين
د. بيبرساللين وتازوباكتام
هـ. ديكلوفيناك وميزوبرستول",ب. تري هكسيفينيديل وتريمورين,Pharmacology
" واحد من العبارات التالية فيما يخص التهوية السنخية في الحالات السوية خاطئة:
أ. يؤدي ارتفاع PO2 السنخي إلى تضيق الأوعية الدموية للنسج
ب. ترفع الزيادة الشديدة في التهوية
السنخية PO2 في الأسناخ إلى 149 ملم
ج. تدعى الممرات التنفسية التي لا يتم فيها
تبادل غازي dead space
د. يؤدي ارتفاع ال PO2 السنخي إلى زيادة الفة الخضاب ل O2","أ. يؤدي ارتفاع PO2 السنخي إلى تضيق الأوعية الدموية للنسج
",Physiology
"بعمر 4 اسابيع يظهر الرتج التنفسي من:
أ. الجدار الظهري للمعي الامامي
ب. الجدار الظهري للمعي المتوسط
ج. الجدار البطني للمعي الامامي 
د. الجدارالبطني للمعي المتوسط ","ج. الجدار البطني للمعي الامامي 
",Embryology
"كل مما يلي صحيحة ما عدا:
أ. لا يجوز مزج البنسلين مع التتراسيكلين في محقنة واحدة.
ب. لا يجوز مزج التتراسيكلين مع السلفوناميدات في محقنة واحدة.
ج.لا يجوز مزج الهيبارين مع الهيدروكورتيزون في محقنة واحدة.
د.لا يجوز مزج الديازيبام مع البنسلين في محقنة واحدة.
هـ. لا يجوز مشاركة الكازولين مع البكتين.",هـ. لا يجوز مشاركة الكازولين مع البكتين.,Pharmacology
"تعطي الاقواس البلعومية مشتقات منها:
أ. غضاريف
ب. عضلات
ج. عظام
د. كل ما سبق",د. كل ما سبق,Embryology
"يشمل مصطلح الخلايا المتقرنة في الجلد كل ما يلي ما عدا:
أ. خلايا الطبقة القاعدية 
ب. الخلايا الميلانينية
ج. خلايا الطبقة الشائكة
د. خلايا الطبقة المحببة
ه. خلايا الطبقة المتقرنة","ب. الخلايا الميلانينية
",Histology
" في الجهاز التناسلي الذكري:
أ. الأنيبيبات المستقيمة تبطن بظهارة مكعبة
ب. الشبكة الخصيوية تبطن بظهارة اسطوانية مطبقة كتذبة
ج. ظهارة قناة البربخ مسطحة بسيطة
د. A+B
ه. كل ما سبق صحيح","أ. الأنيبيبات المستقيمة تبطن بظهارة مكعبة
",Histology
"عند  فحص الساحة البصرية في ضمور ليبر كل مما يلي صحيح ما عدا:
أ. وجود عتمة مركزية مطلقة للون الأبيض
ب. حدود الساحة البصرية المحيطية ضمن الحدود الطبيعية
ج. ضمور العصب البصري يظهر تدريجيا
د. الشحوب يكون عند الجانب الأنفي خاصة
ه. تصبح ذات مظهر شمعي
","د. الشحوب يكون عند الجانب الأنفي خاصة
",Ophthalmology
"في حالة قصور الغدة الدرقية، كل ما يلي صحيح ما عدا:

أ. زيادة الوزن شائعة
ب. انخفاض معدل ضربات القلب
ج. ارتفاع حرارة الجسم باستمرار
د. جفاف الجلد
هـ. الإمساك من الأعراض الشائعة",ج. ارتفاع حرارة الجسم باستمرار,Physiology
