Question - Arabic,Answer - Arabic,Question - English,Answer - English,Category
"املأ الفراغات في الجملة التالية:
في حالات التسمم بالباربيتورات، تتميز الغيبوبة بـ ____، مع العلاج الذي يشمل ____.",ضعف المنعكسات؛ الرعاية الداعمة,"Fill in the blanks in the following sentence: In cases of barbiturate poisoning, coma is characterized by ____, with treatment involving ____.",Hyporeflexia; supportive care,Neurology
"املأ الفراغات في الجملة التالية:
تتضمن أعراض قصور القلب الأيمن ____، بينما يظهر قصور القلب الأيسر عادةً ____.",الوذمة الطرفية؛ احتقان الرئة,"Fill in the blanks in the following sentence: Symptoms of right-sided heart failure include ____, while left-sided heart failure commonly presents with ____.",Peripheral edema; pulmonary congestion,Cardiovascular System
"املأ الفراغات في الجملة التالية:
تتضمن الأعراض السريرية لالتهاب البنكرياس المزمن عادةً ____، بينما يصبح الإسهال الدهني واضحًا عندما ينخفض ​​إفراز الليباز البنكرياسي إلى أقل من ____ من المعدل الطبيعي.",ألم في المنطقة الشرسوفية؛ 10%,"Fill in the blanks in the following sentence: Clinical symptoms of chronic pancreatitis typically include ____, while steatorrhea becomes evident when pancreatic lipase secretion falls below ____ of normal.",Epigastric pain; 10%,Gastroenterology
"املأ الفراغات في الجملة التالية:
عند الرضع حديثي الولادة (36 ساعة أو أقل)، عادة ما يكون النزيف تحت _____ غير ضار، في حين أن النزيف في _____ يدل على إصابة خطيرة.","الملتحمة، شبكية العين","Fill in the blanks in the following sentence: In newborn infants (36 hours or less), bleeding under the _____ is usually harmless, while bleeding in the _____ indicates a serious injury.","Conjunctiva, retina",Pediatrics
"املأ الفراغ في الجملة التالية:
فيروس الهربس البسيط يسبب آفات في منطقة _____ وينتقل بالاتصال المباشر أو الاتصال الجنسي.","الوصل الجلدي المخاطي
",Fill in the blank in the following sentence: Herpes simplex virus causes lesions in the _____ area and is transmitted by direct contact or sexual contact.,Mucocutaneous junction,Dermatology
"املأ الفراغات في الجملة التالية:
يحدث الكيلوس الصدري، وهو شكل نادر من الانصباب الجنبي، بسبب ____، مما يؤدي إلى تراكم ____.",اضطراب الليمفاوية؛ سائل غني بالدهون الثلاثية,"Fill in the blanks in the following sentence: Chylothorax, a rare form of pleural effusion, is caused by ____, leading to the accumulation of ____.",Lymphatic disruption; triglyceride-rich fluid,Pulmonology
"املأ الفراغ في الجملة التالية:
في حالات قصور الغدة الكظرية، يمكن أن يحدث الجفاف نتيجة _____ وزيادة إفراز هرمون ADH.",نقص صوديوم الدم,"Fill in the blank in the following sentence: In cases of adrenal insufficiency, dehydration can result from _____ and increased ADH release.",Hyponatremia,Endocrinology
"املأ الفراغات في الجملة التالية:
بعد الإخصاب، تنقسم الخلايا البلعمية بشكل مستمر لمدة 72 ساعة حتى تشكل كرة مكونة من 16 خلية تسمى ____، والتي تتحول بعد ذلك إلى كيسة أريمية.",التوتة,"Fill in the blanks in the following sentence: After fertilization, blastomeres divide continuously for 72 hours until they form a 16-cell ball called the ____, which then turns into a blastocyst.",Morula,OBGYN
"املأ الفراغات في الجملة التالية:
يتم تأكيد تشخيص ورم الأنسولين من خلال إظهار نقص سكر الدم أثناء الصيام، مع مستويات جلوكوز الدم أقل من ____ ومستويات الأنسولين ____ أثناء النوبة.",40 مجم/ديسيلتر؛ مرتفع,"Fill in the blanks in the following sentence: The diagnosis of insulinoma is confirmed by demonstrating fasting hypoglycemia, with blood glucose levels below ____ and insulin levels ____ during an episode.",40 mg/dL; elevated,Gastroenterology
"املأ الفراغات في الجملة التالية:
في إدارة الخثار الوريدي العميق الحاد، يتضمن العلاج الأولي ____، يليه علاج طويل الأمد بـ ____.",الهيبارين؛ الوارفارين,"Fill in the blanks in the following sentence: In managing acute DVT, initial therapy involves ____, followed by long-term therapy with ____.",Heparin; Warfarin,Cardiovascular System
"املأ الفراغات في الجملة التالية:
في حالات الخرف، يشير الحرف D في الاختصار DEMENTIAS إلى _____. تحدث هذه الحالة عادةً بسبب ____ أو الاستخدام غير السليم للأدوية.","المخدرات، سمية الكحول","Fill in the blanks in the following sentence: In cases of dementia, the D in the acronym DEMENTIAS refers to _____. This condition is commonly caused by ____ or improper use of medications.","Drugs, alcohol toxicity",Neurology
"املأ الفراغ في الجملة التالية:
العلاج الموضعي لانحلال الطبقة القرنية المنفرر يعتمد على استخدام _____.",إريثرومايسين,Fill in the blank in the following sentence: Topical treatment of keratolysis externa depends on the use of _____.,Erythromycin,Dermatology
"املأ الفراغ في الجملة التالية:
إن السمة المميزة للنوبات التوترية الرمعية المعممة هي _____.",حركة متناظرة لجميع الأطراف,Fill in the blank in the following sentence: A distinguishing feature of generalized tonic-clonic seizures (GTCs) is _____.,Symmetrical movement of all limbs,Neurology
"املأ الفراغات في الجملة التالية:
في سياق التهاب عضلة القلب، تشير مستويات WBC وESR المرتفعة إلى ____، بينما يساعد اختبار الأجسام المضادة الفيروسية في تأكيد ____.",التهاب حاد؛ العامل الفيروسي المحدد,"Fill in the blanks in the following sentence: In the context of myocarditis, elevated WBC and ESR levels are suggestive of ____, while viral antibody testing helps confirm ____.",Acute inflammation; the specific viral agent,Cardiovascular System
"املأ الفراغ في الجملة التالية:
في مرض جريفز، يؤدي وجود أجسام مضادة _____ ضد مستقبلات TSH إلى فرط نشاط الغدة الدرقية.",محفزة,"Fill in the blank in the following sentence: In Graves' disease, the presence of _____ antibodies against TSH receptors results in hyperthyroidism.",stimulatory,Endocrinology
"املأ الفراغ في الجملة التالية:
في الحماض الكيتوني السكري، يعاني الجسم من الجفاف الشديد بسبب إدرار البول _____، مما يؤدي إلى فقدان الإلكتروليتات مثل الصوديوم و_____.","تناضحي، بوتاسيوم","Fill in the blank in the following sentence: In DKA, the body experiences severe dehydration due to _____ diuresis, leading to a loss of electrolytes such as sodium and _____.","osmotic, potassium",Endocrinology
"املأ الفراغات في الجملة التالية:
يقيس اختبار تشخيص قصور إفراز البنكرياس مستويات ____ في البراز، والتي تنخفض بشكل كبير في التهاب البنكرياس المزمن المتقدم.",الإيلاستاز,"Fill in the blanks in the following sentence: A diagnostic test for pancreatic exocrine insufficiency measures ____ levels in stool, which decrease significantly in advanced chronic pancreatitis.",Elastase,Gastroenterology
"املأ الفراغ في الجملة التالية:
من بين أكثر الاختبارات التشخيصية شيوعًا المستخدمة لمرض الهيموجلوبين الليلي الانتيابي _____ و ______.","اختبار هارتمان بالماء والسكر، اختبار هام
",Fill in the blank in the following sentence: Among the most commonly used diagnostic tests for paroxysmal nocturnal hemoglobinuria are _____ and ______.,"Hartmann's sugar water test, Ham's test",Hematology
"املأ الفراغات في الجملة التالية:
يتضمن التصوير الدقيق لتحديد التشوهات البنيوية في التهاب البنكرياس المزمن ____، وهو أفضل من الموجات فوق الصوتية في الكشف عن _____.",الموجات فوق الصوتية بالمنظار؛ التليف,"Fill in the blanks in the following sentence: Definitive imaging for identifying structural abnormalities in chronic pancreatitis includes ____, which is superior to ultrasound in detecting _____.",Endoscopic ultrasound; fibrosis,Gastroenterology
"املأ الفراغات في الجملة التالية:
يتم استيفاء تشخيص الانصباب النضحي وفقًا لمعايير لايت عندما يتجاوز LDH السائل الجنبي ____ الحد الأعلى لـ LDH الطبيعي في المصل.",70%,Fill in the blanks in the following sentence: A Light’s criteria diagnosis of exudative effusion is met when pleural fluid LDH exceeds ____ of the upper limit of normal serum LDH.,70%,Pulmonology
"املأ الفراغ في الجملة التالية:
يمكن أن تظهر متلازمات الأورام الصماء المتعددة أحيانًا مع _____ وفرط نشاط الغدة الدرقية في نفس الوقت.",ورم القواتم,Fill in the blank in the following sentence: Multi-endocrine neoplasia syndromes can occasionally present with concurrent _____ and hyperthyroidism.,pheochromocytoma,Endocrinology
"املأ الفراغ في الجملة التالية:
فقر الدم الأرومي الحديدي يتميز بوجود أرومات في ___ يتوضع الحديد فيها بشكل حلقة حول النواة.",نقيّ العظم,Fill in the blank in the following sentence: Sideroblastic anemia is characterized by the presence of blasts in ___ in which iron is located in a ring around the nucleus.,Bone marrow,Hematology
"املأ الفراغ في الجملة التالية:
الحماض الكيتوني السكري (DKA) هو حالة تهدد الحياة تحدث في المقام الأول لدى مرضى السكري من النوع _____ وتتميز بـ _____ الأيضي.","1، الحماض",Fill in the blank in the following sentence: Diabetic ketoacidosis (DKA) is a life-threatening condition that primarily occurs in patients with type _____ diabetes and is characterized by metabolic _____.,"1, Acidosis",Endocrinology
"املأ الفراغ في الجملة التالية:
في تشخيص قصور الغدة الكظرية، يتضمن اختبار سيناكثين القصير حقن _____ وقياس مستويات الكورتيزول بعد 30 دقيقة.",250 ميكروجرام من هرمون قشر الكظر,"Fill in the blank in the following sentence: In the diagnosis of adrenal insufficiency, the Short Synacthen Test involves injecting _____ and measuring cortisol levels after 30 minutes.",250 mcg of ACTH,Endocrinology
"املأ الفراغ في الجملة التالية:
يُعتبر نقص فيتامين _____ من الأسباب الشائعة لفقر الدم الضخم الأرومات، حيث يؤدي إلى اضطراب في تصنيع الحمض النووي وانقسام الخلايا.
",B12,"Fill in the blank in the following sentence:
Vitamin _____ deficiency is a common cause of megaloblastic anemia, as it leads to a disturbance in DNA synthesis and cell division.",B12,Endocrinology
